area,bedrooms,age,price
2000,3,10,300000
1500,2,15,250000
1800,3,5,350000
1200,2,20,200000
2500,4,8,400000
1600,2,12,280000
2200,3,3,380000
1400,2,25,220000
1900,3,7,320000
1300,2,18,240000
2100,3,6,360000
1700,3,14,290000
2400,4,4,390000
1100,1,30,180000
2300,4,9,370000
1500,2,22,230000
2000,3,11,310000
1800,3,16,270000
2600,4,2,420000
1400,2,28,210000
1900,3,13,300000
1600,2,19,260000
2200,3,5,350000
1300,2,24,220000
2500,4,7,400000
1700,3,17,280000
2100,3,8,340000
1200,2,26,200000
2400,4,6,380000
1500,2,21,250000
2000,3,12,320000
1800,3,14,290000
2300,4,4,390000
1400,2,27,210000
1900,3,9,330000
1600,2,23,240000
2200,3,10,350000
1300,2,29,190000
2500,4,3,410000
1700,3,15,270000
2100,3,11,340000
1200,2,32,180000
2400,4,5,380000
1500,2,20,240000
2000,3,8,340000
1800,3,18,280000
2600,4,1,450000
1400,2,25,220000
1900,3,12,310000
1600,2,16,270000
2200,3,7,360000
1300,2,31,200000
2500,4,6,390000
1700,3,19,260000
2100,3,9,330000
1200,2,28,190000
2400,4,4,400000
1500,2,24,230000
2000,3,13,300000
1800,3,17,270000
